split,case,image,mask
train,cju35atpxdjot0855q46aqrd0,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju35atpxdjot0855q46aqrd0.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju35atpxdjot0855q46aqrd0.png
train,cju1efbr0rqxz09931z0lf4vf,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju1efbr0rqxz09931z0lf4vf.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju1efbr0rqxz09931z0lf4vf.png
train,cju2r2obh2bjm08553kng0rh7,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju2r2obh2bjm08553kng0rh7.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju2r2obh2bjm08553kng0rh7.png
train,232,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/232.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/232.png
train,cju1cu1u2474n0878tt7v4tdr,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju1cu1u2474n0878tt7v4tdr.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju1cu1u2474n0878tt7v4tdr.png
train,cju84aoa3ktwn0755pfl4gfwd,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju84aoa3ktwn0755pfl4gfwd.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju84aoa3ktwn0755pfl4gfwd.png
train,91,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/91.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/91.png
train,cju5f26ebcuai0818xlwh6116,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju5f26ebcuai0818xlwh6116.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju5f26ebcuai0818xlwh6116.png
train,609,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/609.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/609.png
train,579,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/579.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/579.png
train,409,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/409.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/409.png
train,cju2xd75m82720801q4s4ik3n,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju2xd75m82720801q4s4ik3n.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju2xd75m82720801q4s4ik3n.png
train,cju0u2g7pmnux0801vkk47ivj,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju0u2g7pmnux0801vkk47ivj.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju0u2g7pmnux0801vkk47ivj.png
train,376,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/376.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/376.png
train,cju1c4fcu40hl07992b8gj0c8,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju1c4fcu40hl07992b8gj0c8.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju1c4fcu40hl07992b8gj0c8.png
train,cju1bhnfitmge0835ynls0l6b,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju1bhnfitmge0835ynls0l6b.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju1bhnfitmge0835ynls0l6b.png
train,350,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/350.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/350.png
train,cju7f9umg2olj0987fj5y285w,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju7f9umg2olj0987fj5y285w.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju7f9umg2olj0987fj5y285w.png
train,cju2tvrvm53ws0801a0jfjdxg,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju2tvrvm53ws0801a0jfjdxg.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju2tvrvm53ws0801a0jfjdxg.png
train,cju787jnjzjuj0871p94nck9g,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju787jnjzjuj0871p94nck9g.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju787jnjzjuj0871p94nck9g.png
train,cju0rx1idathl0835detmsp84,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju0rx1idathl0835detmsp84.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju0rx1idathl0835detmsp84.png
train,cju33mirdc8mj0799k33wzoes,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju33mirdc8mj0799k33wzoes.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju33mirdc8mj0799k33wzoes.png
train,594,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/594.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/594.png
train,77,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/77.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/77.png
train,cju2qqn5ys4uo0988ewrt2ip2,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju2qqn5ys4uo0988ewrt2ip2.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju2qqn5ys4uo0988ewrt2ip2.png
train,521,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/521.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/521.png
train,cju7frtqu2xa20818wq8r9fzf,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju7frtqu2xa20818wq8r9fzf.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju7frtqu2xa20818wq8r9fzf.png
train,cju88q6h6obpd0871ckmiabbo,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju88q6h6obpd0871ckmiabbo.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju88q6h6obpd0871ckmiabbo.png
train,cju8c5mxls96t0850wvkvsity,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju8c5mxls96t0850wvkvsity.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju8c5mxls96t0850wvkvsity.png
train,cju5vcmrqla7i0817x4sp4pqw,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju5vcmrqla7i0817x4sp4pqw.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju5vcmrqla7i0817x4sp4pqw.png
train,cju6yxyt0wh080871sqpepu47,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju6yxyt0wh080871sqpepu47.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju6yxyt0wh080871sqpepu47.png
train,cju5knbbqfipk080128cggukq,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju5knbbqfipk080128cggukq.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju5knbbqfipk080128cggukq.png
train,cju886ryxnsl50801r93jai7q,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju886ryxnsl50801r93jai7q.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju886ryxnsl50801r93jai7q.png
train,239,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/239.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/239.png
train,cju1fmsyf6gxb0801cimx2gle,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju1fmsyf6gxb0801cimx2gle.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju1fmsyf6gxb0801cimx2gle.png
train,cju0s690hkp960855tjuaqvv0,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju0s690hkp960855tjuaqvv0.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju0s690hkp960855tjuaqvv0.png
train,cju8cj10qsrau0871o2dr6ai1,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju8cj10qsrau0871o2dr6ai1.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju8cj10qsrau0871o2dr6ai1.png
train,204,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/204.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/204.png
train,152,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/152.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/152.png
train,cju7dff9529h208503w60lbil,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju7dff9529h208503w60lbil.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju7dff9529h208503w60lbil.png
train,cju5wkonqlrl409877y8zvnub,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju5wkonqlrl409877y8zvnub.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju5wkonqlrl409877y8zvnub.png
train,189,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/189.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/189.png
train,cju77196iyshb0850ycbto50a,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju77196iyshb0850ycbto50a.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju77196iyshb0850ycbto50a.png
train,cju2zdhsczmn50988z64qwg2q,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju2zdhsczmn50988z64qwg2q.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju2zdhsczmn50988z64qwg2q.png
train,cju13cgqmnhwn0988yrainhcp,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju13cgqmnhwn0988yrainhcp.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju13cgqmnhwn0988yrainhcp.png
train,cju5uhrdwkmsu0817ervv91l8,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju5uhrdwkmsu0817ervv91l8.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju5uhrdwkmsu0817ervv91l8.png
train,611,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/611.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/611.png
train,263,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/263.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/263.png
train,cjyzuio1qgh040763k56deohv,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cjyzuio1qgh040763k56deohv.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cjyzuio1qgh040763k56deohv.png
train,cju2zjcvj9qma0801dk71hhi0,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju2zjcvj9qma0801dk71hhi0.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju2zjcvj9qma0801dk71hhi0.png
train,cju2xbk0080y80801eghyddi2,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju2xbk0080y80801eghyddi2.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju2xbk0080y80801eghyddi2.png
train,cju88msmoo3470817m441j4sg,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju88msmoo3470817m441j4sg.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju88msmoo3470817m441j4sg.png
train,cju88z8bson4h0871nnd7fdxo,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju88z8bson4h0871nnd7fdxo.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju88z8bson4h0871nnd7fdxo.png
train,cju5c5xc7algd0817pb1ej5yo,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju5c5xc7algd0817pb1ej5yo.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju5c5xc7algd0817pb1ej5yo.png
train,cju1fyb1d69et0878muzdak9u,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju1fyb1d69et0878muzdak9u.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju1fyb1d69et0878muzdak9u.png
train,534,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/534.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/534.png
train,463,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/463.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/463.png
train,cju42romflni20817etb9a0fl,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju42romflni20817etb9a0fl.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju42romflni20817etb9a0fl.png
train,cju6z7e4bwgdd0987ogkzq9kt,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju6z7e4bwgdd0987ogkzq9kt.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju6z7e4bwgdd0987ogkzq9kt.png
train,560,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/560.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/560.png
train,607,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/607.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/607.png
train,cju5tenjojp1j0755ms4949h2,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju5tenjojp1j0755ms4949h2.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju5tenjojp1j0755ms4949h2.png
train,44,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/44.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/44.png
train,cju7azuu31mia0801pf9ib5ed,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju7azuu31mia0801pf9ib5ed.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju7azuu31mia0801pf9ib5ed.png
train,cju87xn2snfmv0987sc3d9xnq,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju87xn2snfmv0987sc3d9xnq.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju87xn2snfmv0987sc3d9xnq.png
train,cju3tx1qyg0c907552fglumhc,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju3tx1qyg0c907552fglumhc.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju3tx1qyg0c907552fglumhc.png
train,3,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/3.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/3.png
train,cju1ewnoh5z030855vpex9uzt,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju1ewnoh5z030855vpex9uzt.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju1ewnoh5z030855vpex9uzt.png
train,cju31ugmfb3dz0855xtqshki6,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju31ugmfb3dz0855xtqshki6.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju31ugmfb3dz0855xtqshki6.png
train,cju7dizi82h2i0755doucgnt3,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju7dizi82h2i0755doucgnt3.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju7dizi82h2i0755doucgnt3.png
train,cju40wto5kxwi0755it190f2k,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju40wto5kxwi0755it190f2k.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju40wto5kxwi0755it190f2k.png
train,cju3u39fog1bo0871lxjrabks,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju3u39fog1bo0871lxjrabks.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju3u39fog1bo0871lxjrabks.png
train,cju6x35ervu2808015c7eoqe4,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju6x35ervu2808015c7eoqe4.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju6x35ervu2808015c7eoqe4.png
train,cju85fc11ljr40818edpb0inh,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju85fc11ljr40818edpb0inh.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju85fc11ljr40818edpb0inh.png
train,253,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/253.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/253.png
train,cju42dwedlmk60871jbgu4ehi,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju42dwedlmk60871jbgu4ehi.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju42dwedlmk60871jbgu4ehi.png
train,93,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/93.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/93.png
train,234,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/234.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/234.png
train,cju7arvfe1ldu0850erdmphgj,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju7arvfe1ldu0850erdmphgj.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju7arvfe1ldu0850erdmphgj.png
train,127,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/127.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/127.png
train,cju7dubap2g0w0801fgl42mg9,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju7dubap2g0w0801fgl42mg9.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju7dubap2g0w0801fgl42mg9.png
train,cju77b3wyz4160755qis4ljsb,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju77b3wyz4160755qis4ljsb.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju77b3wyz4160755qis4ljsb.png
train,cju77u1sjz77b0817ft44r3fk,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju77u1sjz77b0817ft44r3fk.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju77u1sjz77b0817ft44r3fk.png
train,40,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/40.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/40.png
train,cju5jz5fff8c50871hbe6108f,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju5jz5fff8c50871hbe6108f.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju5jz5fff8c50871hbe6108f.png
train,430,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/430.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/430.png
train,155,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/155.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/155.png
train,cju5huurrecm70801y680y13m,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju5huurrecm70801y680y13m.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju5huurrecm70801y680y13m.png
train,265,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/265.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/265.png
train,cju30bmab08bi0835mvlr6e0r,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju30bmab08bi0835mvlr6e0r.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju30bmab08bi0835mvlr6e0r.png
train,cju7f900s2o0k08175gl1giid,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju7f900s2o0k08175gl1giid.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju7f900s2o0k08175gl1giid.png
train,cju34sh43d8zm08019xbwhc0o,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju34sh43d8zm08019xbwhc0o.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju34sh43d8zm08019xbwhc0o.png
train,cju17v6ih0u7808783zcbg1jy,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju17v6ih0u7808783zcbg1jy.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju17v6ih0u7808783zcbg1jy.png
train,cju5f8hxdcxxn08188obby0ea,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju5f8hxdcxxn08188obby0ea.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju5f8hxdcxxn08188obby0ea.png
train,cju2urqpwvxw70835rvndvtsi,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju2urqpwvxw70835rvndvtsi.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju2urqpwvxw70835rvndvtsi.png
train,592,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/592.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/592.png
train,72,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/72.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/72.png
train,104,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/104.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/104.png
train,cju1csmlc4ht10799b8ymmghg,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju1csmlc4ht10799b8ymmghg.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju1csmlc4ht10799b8ymmghg.png
